               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.02585,           0.0083458,           0.0061739,             0.95736,             0.96857,             0.98608,             0.72759,            0.014356,           0.0038186,           0.0014606,             0.00307,             0.00307,             0.00307
                  37,            0.025453,           0.0083407,           0.0054969,             0.95532,             0.97144,             0.98629,             0.72987,            0.014261,           0.0038052,           0.0014951,            0.002872,            0.002872,            0.002872
                  38,            0.024951,           0.0081852,           0.0054259,             0.95534,             0.97016,             0.98553,             0.73442,            0.014229,           0.0038009,           0.0015844,            0.002674,            0.002674,            0.002674
                  39,            0.024667,           0.0082337,           0.0051527,             0.95798,             0.96805,              0.9861,             0.73406,            0.014201,           0.0037881,           0.0015504,            0.002476,            0.002476,            0.002476
                  40,            0.024424,           0.0081817,           0.0050469,              0.9559,             0.97196,             0.98662,              0.7345,             0.01415,           0.0037782,           0.0015308,            0.002278,            0.002278,            0.002278
                  41,            0.023864,           0.0080843,           0.0048412,             0.95506,             0.96829,             0.98562,             0.73298,            0.014145,           0.0037741,           0.0015593,             0.00208,             0.00208,             0.00208
                  42,            0.023698,           0.0080047,           0.0044043,             0.95553,             0.97036,             0.98544,             0.73712,            0.014144,           0.0037627,           0.0015685,            0.001882,            0.001882,            0.001882
                  43,            0.023209,           0.0079638,           0.0041361,               0.958,             0.96889,             0.98577,             0.73816,            0.014147,            0.003758,           0.0015718,            0.001684,            0.001684,            0.001684
                  44,            0.022606,           0.0079216,           0.0039707,             0.95738,             0.96867,             0.98525,             0.73631,            0.014137,             0.00376,           0.0015654,            0.001486,            0.001486,            0.001486
                  45,             0.02235,           0.0078434,           0.0039687,             0.95616,             0.97023,             0.98581,             0.73631,            0.014112,           0.0037582,           0.0015664,            0.001288,            0.001288,            0.001288
                  46,            0.022003,           0.0078367,           0.0038389,             0.95458,             0.96866,             0.98588,             0.73713,            0.014086,           0.0037596,           0.0015498,             0.00109,             0.00109,             0.00109
                  47,            0.021412,           0.0077527,           0.0036863,             0.95286,             0.96791,             0.98593,             0.73834,            0.014074,           0.0037571,           0.0015435,            0.000892,            0.000892,            0.000892
                  48,            0.021115,           0.0077846,             0.00321,             0.95175,             0.96855,             0.98589,             0.73882,            0.014063,           0.0037563,           0.0015366,            0.000694,            0.000694,            0.000694
                  49,            0.020576,           0.0076074,           0.0030277,             0.95198,             0.96883,             0.98571,             0.73838,            0.014053,            0.003756,           0.0015339,            0.000496,            0.000496,            0.000496
